Label,url_length,num_dots,num_hyphens,num_at,has_https,contains_login
phishing,54,6,0,0,0,0
phishing,60,6,0,0,0,0
phishing,62,6,0,0,0,0
phishing,69,6,0,0,0,0
phishing,64,6,0,0,0,0
phishing,60,6,1,0,0,0
phishing,60,6,0,0,0,0
phishing,66,6,0,0,0,0
phishing,70,6,0,0,0,0
phishing,65,6,0,0,0,0
phishing,54,6,0,0,0,0
phishing,67,6,0,0,0,0
phishing,63,6,1,0,0,0
phishing,77,7,0,0,0,0
phishing,153,10,2,0,0,1
phishing,149,9,2,0,0,1
phishing,326,9,3,0,0,0
phishing,326,9,3,0,0,0
phishing,82,4,1,0,0,0
phishing,28,2,0,0,0,0
phishing,182,3,1,0,0,1
phishing,33,2,0,0,0,0
phishing,39,2,0,0,0,0
phishing,78,4,6,0,0,0
phishing,78,4,6,0,0,0
phishing,78,4,6,0,0,0
phishing,77,4,6,0,0,0
phishing,139,6,7,0,0,1
phishing,106,6,7,0,0,1
phishing,47,3,0,0,0,0
phishing,32,2,0,0,0,0
phishing,103,3,0,0,0,0
phishing,66,2,1,0,0,0
phishing,44,2,0,0,0,0
phishing,108,1,1,0,0,0
phishing,71,1,1,0,0,0
phishing,109,5,0,0,0,0
phishing,21,2,0,0,0,0
phishing,68,6,0,0,0,0
phishing,67,6,0,0,0,0
phishing,30,2,0,0,0,0
phishing,39,3,0,0,0,0
phishing,46,2,1,0,0,0
phishing,99,4,1,0,0,1
phishing,75,3,1,0,0,1
phishing,63,4,0,0,0,0
phishing,77,5,0,0,0,0
phishing,51,6,1,0,0,1
phishing,110,6,0,0,1,1
phishing,54,4,1,0,0,0
phishing,35,4,0,0,0,0
phishing,98,7,2,0,0,0
phishing,35,4,0,0,0,0
phishing,40,4,0,0,0,0
phishing,78,4,6,0,0,0
phishing,50,2,1,0,0,0
phishing,47,4,2,0,0,1
phishing,16,1,0,0,0,0
phishing,40,2,0,0,0,0
phishing,50,4,2,0,0,1
phishing,12,1,0,0,0,0
phishing,79,2,0,0,0,0
phishing,56,3,0,0,0,0
phishing,94,4,0,0,0,0
phishing,38,2,0,0,0,0
phishing,151,8,1,0,0,0
phishing,41,4,2,0,0,0
phishing,82,3,3,0,0,1
phishing,60,2,0,0,0,0
phishing,186,2,2,0,0,1
phishing,32,3,1,0,0,1
phishing,36,3,0,0,0,0
phishing,186,2,0,0,0,0
phishing,54,1,1,0,0,0
phishing,69,5,1,0,0,1
phishing,64,2,1,0,0,1
phishing,125,4,1,0,0,1
phishing,77,5,0,0,0,0
phishing,71,1,0,0,0,0
phishing,151,12,0,0,0,0
phishing,40,3,0,0,0,0
phishing,183,2,1,0,0,1
phishing,17,2,0,0,0,0
phishing,105,8,1,0,0,0
phishing,124,13,5,0,0,0
phishing,44,3,1,0,0,0
phishing,147,8,2,0,0,1
phishing,64,4,1,0,0,0
phishing,29,2,0,0,0,0
phishing,29,1,1,0,0,0
phishing,62,2,0,0,0,0
phishing,77,4,2,0,0,0
phishing,60,3,1,0,0,0
phishing,33,2,0,0,0,0
phishing,14,2,0,0,0,0
phishing,108,9,1,0,0,0
phishing,107,2,0,0,0,0
phishing,109,8,1,0,0,1
phishing,197,2,3,0,0,1
phishing,37,3,0,0,0,1
phishing,123,2,1,0,0,1
phishing,44,3,0,0,0,0
phishing,362,3,1,0,0,0
phishing,366,3,1,0,0,0
phishing,42,3,0,0,0,1
phishing,123,9,2,0,0,1
phishing,34,4,0,0,0,0
phishing,59,1,0,0,0,0
phishing,42,3,0,0,0,0
phishing,59,3,1,0,0,0
phishing,142,2,5,0,0,1
phishing,221,4,1,0,0,1
phishing,21,2,0,0,0,0
phishing,96,8,0,0,0,0
phishing,113,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,46,3,1,0,0,0
phishing,65,4,1,0,0,0
phishing,93,3,0,0,0,0
phishing,50,3,1,0,0,0
phishing,80,3,0,0,0,0
phishing,23,2,0,0,0,0
phishing,32,4,0,0,0,0
phishing,52,4,0,0,0,0
phishing,57,2,0,0,0,0
phishing,18,1,1,0,0,0
phishing,89,3,0,0,0,0
phishing,72,3,2,0,0,0
phishing,79,2,5,0,0,0
phishing,66,4,1,0,0,0
phishing,29,1,0,0,0,0
phishing,31,3,0,0,0,0
phishing,38,4,0,0,0,1
phishing,58,5,1,0,0,0
phishing,50,4,0,0,0,1
phishing,43,4,0,0,0,0
phishing,57,5,0,0,0,0
phishing,20,2,0,0,0,0
phishing,57,6,0,0,0,0
phishing,67,4,0,0,0,0
phishing,72,2,0,0,0,0
phishing,38,3,1,0,0,0
phishing,225,6,4,0,0,1
phishing,330,9,3,0,0,0
phishing,61,1,0,0,0,0
phishing,75,2,1,0,0,1
phishing,73,6,2,0,0,1
phishing,76,2,1,0,0,1
phishing,58,6,1,0,0,0
phishing,330,9,3,0,0,0
phishing,153,10,2,0,0,1
phishing,144,3,0,0,0,0
phishing,143,3,0,0,0,0
phishing,38,2,0,0,0,0
phishing,146,9,1,0,0,0
phishing,24,3,0,0,0,1
phishing,40,2,0,0,0,0
phishing,151,9,2,0,0,0
phishing,193,2,1,0,0,1
phishing,24,1,0,0,0,0
phishing,58,2,1,0,0,1
phishing,162,8,3,0,0,0
phishing,129,8,3,0,0,0
phishing,13,1,0,0,0,0
phishing,63,2,0,0,0,0
phishing,19,2,0,0,0,0
phishing,66,1,1,0,0,0
phishing,44,1,0,0,0,0
phishing,38,2,0,0,0,0
phishing,40,3,0,0,0,0
phishing,66,3,2,0,0,0
phishing,65,4,0,0,0,0
phishing,131,5,1,0,0,1
phishing,75,2,1,0,0,1
phishing,24,1,1,0,0,0
phishing,33,2,0,0,0,0
phishing,162,8,3,0,0,0
phishing,233,17,2,0,0,0
phishing,23,2,0,0,0,0
phishing,224,11,1,0,0,1
phishing,34,2,0,0,0,0
phishing,80,4,4,0,0,0
phishing,81,4,4,0,0,0
phishing,31,3,2,0,0,1
phishing,184,16,2,0,0,1
phishing,31,1,0,0,0,0
phishing,37,2,0,0,0,1
phishing,47,2,1,0,0,0
phishing,55,3,3,0,0,1
phishing,33,2,2,0,0,0
phishing,184,3,1,0,0,1
phishing,15,1,0,0,0,0
phishing,86,2,0,0,0,0
phishing,100,2,0,0,0,0
phishing,77,8,3,0,0,0
phishing,78,8,3,0,0,0
phishing,143,9,3,0,0,0
phishing,42,3,0,0,0,0
phishing,210,9,0,0,0,0
phishing,183,8,1,0,0,0
phishing,131,9,0,0,0,0
phishing,19,2,0,0,0,0
phishing,192,11,4,0,0,0
phishing,192,11,4,0,0,0
phishing,48,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,18,2,0,0,0,0
phishing,153,10,2,0,0,1
phishing,120,10,2,0,0,1
phishing,96,6,1,0,0,0
phishing,184,3,1,0,0,1
phishing,153,10,2,0,0,1
phishing,128,12,0,0,0,1
phishing,127,12,0,0,0,1
phishing,14,2,0,0,0,0
phishing,55,2,1,0,0,0
phishing,205,4,1,0,0,1
phishing,44,3,0,0,0,0
phishing,191,3,2,0,0,1
phishing,149,6,0,0,0,1
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,47,2,1,0,0,0
phishing,27,2,0,0,0,1
phishing,56,4,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,163,6,1,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,75,3,1,0,0,1
phishing,58,2,2,0,0,0
phishing,224,11,1,0,0,1
phishing,197,15,1,0,0,0
phishing,175,15,2,0,0,1
phishing,122,11,0,0,0,1
phishing,55,7,1,0,0,1
phishing,241,15,1,0,0,0
phishing,17,2,0,0,0,0
phishing,16,2,0,0,0,0
phishing,228,11,1,0,0,1
phishing,201,12,7,0,0,1
phishing,145,6,0,0,0,1
phishing,194,14,1,0,0,0
phishing,184,16,2,0,0,1
phishing,183,8,1,0,0,0
phishing,184,16,2,0,0,1
phishing,66,6,1,0,0,1
phishing,183,8,1,0,0,0
phishing,150,8,1,0,0,0
phishing,175,15,2,0,0,1
phishing,153,15,1,0,0,1
phishing,184,16,2,0,0,1
phishing,30,2,0,0,0,0
phishing,259,15,1,0,0,0
phishing,55,2,0,0,0,0
phishing,156,2,1,0,0,1
phishing,118,12,0,0,0,1
phishing,51,1,2,0,0,1
phishing,21,2,0,0,0,0
phishing,20,2,0,0,0,0
phishing,42,3,0,0,0,0
phishing,100,5,5,0,0,1
phishing,112,3,3,0,0,0
phishing,97,2,1,0,0,1
phishing,198,17,8,0,0,1
phishing,166,7,1,0,0,0
phishing,135,6,11,0,0,1
phishing,122,3,11,0,0,1
phishing,193,14,1,0,0,0
phishing,212,14,1,0,0,0
phishing,127,10,3,0,0,1
phishing,37,4,0,0,0,0
phishing,165,7,1,0,0,0
phishing,131,9,0,0,0,0
phishing,18,1,1,0,0,0
phishing,37,3,0,0,0,0
phishing,183,8,1,0,0,0
phishing,46,2,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
phishing,42,3,0,0,0,0
